HEADINGFAULT-GILDA,1182.3940342860053,1183.823808406447,Optional[298.6556842851792]HEADINGFAULT-HENRY,84.02298900308737,215.17827064717483,Optional[86.53546164879148]HEADINGFAULT-GILDA,1141.5689293336595,1199.2462134478076,Optional[141.23386938652064]HEADINGFAULT-HENRY,947.2190593228615,1082.897243532218,Optional[254.43111386256865]HEADINGFAULT-GILDA,139.4860064401825,164.27017495201596,Optional[39.528310307780195],
HEADINGFAULT-GILDA,1144.189555065287,1180.7911222217217,Optional[226.88565267473746]HEADINGFAULT-HENRY,947.2190593228615,1082.897243532218,Optional[254.43111386256865],
HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[39.68788166999614],
HEADINGFAULT-HENRY,1084.0507781155923,1148.7196461204724,Optional[110.36960437341398]HEADINGFAULT-GILDA,1142.8563764061962,1198.0641448594388,Optional[339.6392376212718],
HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[39.68788166999614],
HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[39.68788166999614],
HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[39.68788166999614],
HEADINGFAULT-HENRY,1084.0507781155923,1148.7196461204724,Optional[110.36960437341398]HEADINGFAULT-GILDA,1142.8563764061962,1198.0641448594388,Optional[339.6392376212718],
